zeit,temp_wasser,temp_wuerfel
1740.3,51.88,28.75
1740.9,51.94,28.25
1741.5,51.94,28.25
1742.1,51.94,28.75
1742.7,51.94,28.5
1743.3,51.94,28.25
1743.9,51.94,28.5
1744.5,51.94,28.5
1745.1,51.88,28.5
1745.7,51.94,28.0
1746.3,51.94,28.5
1746.9,51.88,27.5
1747.5,51.94,28.5
1748.1,51.88,28.5
1748.7,51.88,28.5
1749.3,51.88,28.75
1749.9,51.88,28.0
1750.5,51.94,28.75
1751.1,51.94,28.5
1751.7,51.88,28.25
1752.3,51.88,28.5
1752.9,51.88,28.5
1753.5,51.88,28.0
1754.1,51.88,28.25
1754.7,51.88,28.5
1755.3,51.88,28.25
1755.9,51.88,28.25
1756.5,51.94,28.25
1757.1,51.88,28.0
1757.7,51.88,28.5
1758.3,51.88,28.5
1758.9,51.88,28.5
1759.5,51.88,29.5
1760.1,51.88,28.25
1760.7,51.81,27.75
1761.3,51.81,28.25
1761.9,51.81,28.5
1762.5,51.88,28.5
1763.1,51.88,28.0
1763.7,51.88,28.5
1764.3,51.88,28.5
1764.9,51.88,28.0
1765.5,51.88,28.5
1766.1,51.81,28.5
1766.6,51.88,27.75
1767.2,51.81,28.5
1767.8,51.81,28.5
1768.4,51.81,28.75
1769.0,51.81,28.5
1769.6,51.81,28.5
1770.2,51.88,28.5
1770.8,51.81,28.25
1771.4,51.81,28.5
1772.0,51.81,28.5
1772.6,51.88,28.0
1773.2,51.88,28.5
1773.8,51.88,28.5
1774.4,51.81,28.0
1775.0,51.81,28.0
1775.6,51.81,28.5
1776.2,51.81,28.5
1776.8,51.81,28.5
1777.4,51.81,28.5
1778.0,51.81,28.5
1778.6,51.81,28.25
1779.2,51.81,28.0
1779.8,51.81,28.5
1780.4,51.81,28.0
1781.0,51.81,28.25
1781.6,51.81,28.5
1782.2,51.75,28.0
1782.8,51.81,28.5
1783.4,51.81,28.5
1784.0,51.81,28.5
1784.6,51.81,28.25
1785.3,51.81,28.5
1785.8,51.81,28.75
1786.4,51.81,28.25
1787.0,51.75,28.5
1787.6,51.81,28.5
1788.2,51.81,28.5
1788.8,51.81,28.0
1789.4,51.75,28.0
1790.0,51.75,28.25
1790.6,51.75,28.25
1791.2,51.75,28.0
1791.8,51.75,27.75
1792.4,51.75,28.5
1793.0,51.75,27.75
1793.6,51.75,28.25
1794.2,51.75,28.5
1794.8,51.69,28.0
1795.4,51.75,28.5
1796.0,51.75,28.5
1796.6,51.75,28.0
1797.2,51.75,28.0
1797.8,51.75,28.25
1798.4,51.75,28.5
1799.0,51.69,28.5
1799.6,51.69,28.25
1800.2,51.75,28.5
1800.8,51.75,28.25
1801.4,51.75,28.5
1802.0,51.75,28.5
1802.6,51.69,28.25
1803.2,51.75,28.5
1803.8,51.75,28.75
1804.4,51.75,28.0
1805.0,51.69,28.5
1805.6,51.69,28.75
1806.2,51.75,28.75
1806.8,51.69,28.25
1807.4,51.69,28.25
1808.0,51.69,28.25
1808.6,51.69,28.25
1809.2,51.69,28.5
1809.8,51.69,28.5
1810.4,51.69,28.25
1811.0,51.69,28.5
1811.6,51.69,28.5
1812.2,51.69,28.75
1812.8,51.69,28.25
1813.4,51.69,28.5
1814.0,51.69,28.5
1814.6,51.69,28.25
1815.2,51.69,28.25
1815.8,51.69,28.75
1816.4,51.69,28.5
1817.0,51.69,28.5
1817.6,51.69,28.0
1818.2,51.69,28.5
1818.7,51.69,28.5
1819.4,51.63,28.5
1819.9,51.63,28.5
1820.6,51.69,28.5
1821.1,51.69,28.5
1821.8,51.69,28.25
1822.3,51.69,28.75
1823.0,51.69,28.5
1823.5,51.63,28.5
1824.1,51.63,28.75
1824.7,51.63,28.5
1825.3,51.63,28.0
1825.9,51.63,28.25
1826.5,51.63,28.5
1827.1,51.63,28.5
1827.7,51.63,28.5
1828.3,51.63,28.25
1828.9,51.63,28.5
1829.5,51.63,28.25
1830.1,51.63,28.25
1830.7,51.63,28.5
1831.3,51.63,28.5
1831.9,51.63,28.25
1832.5,51.63,28.25
1833.1,51.63,28.5
1833.7,51.63,28.25
1834.3,51.63,28.5
1834.9,51.63,28.0
1835.5,51.56,28.5
1836.1,51.63,28.5
1836.7,51.63,28.75
1837.3,51.56,28.5
1837.9,51.56,28.75
1838.5,51.56,28.5
1839.1,51.56,28.5
1839.7,51.63,28.25
1840.3,51.56,28.75
1840.9,51.63,28.5
1841.5,51.56,28.5
1842.1,51.56,28.5
1842.7,51.56,28.0
1843.3,51.56,28.75
1843.9,51.63,27.5
1844.5,51.56,28.0
1845.1,51.56,28.25
1845.7,51.56,28.5
1846.3,51.56,28.25
1846.9,51.56,28.5
1847.5,51.56,28.5
1848.1,51.56,28.0
1848.7,51.56,28.5
1849.3,51.56,28.5
1849.9,51.56,28.5
1850.5,51.56,28.25
1851.1,51.56,28.5
1851.7,51.56,27.75
1852.3,51.56,28.25
1852.9,51.56,28.0
1853.5,51.56,28.0
1854.1,51.56,28.5
1854.7,51.5,28.25
1855.3,51.56,28.25
1855.9,51.56,28.5
1856.5,51.56,28.5
1857.1,51.56,28.5
1857.7,51.56,28.25
1858.3,51.56,28.5
1858.9,51.56,28.5
1859.5,51.56,28.25
1860.1,51.56,28.5
1860.7,51.5,28.25
1861.3,51.56,28.25
1861.9,51.56,28.0
1862.5,51.5,28.0
1863.1,51.5,28.5
1863.7,51.5,28.75
1864.3,51.5,28.5
1864.9,51.5,28.5
1865.5,51.5,28.5
1866.1,51.5,28.5
1866.7,51.5,28.5
1867.3,51.5,28.75
1867.9,51.5,28.5
1868.5,51.5,28.25
1869.0,51.5,28.5
1869.7,51.5,28.5
1870.2,51.5,28.5
1870.9,51.5,28.0
1871.4,51.5,28.25
1872.1,51.5,28.25
1872.6,51.5,28.5
1873.2,51.5,28.25
1873.8,51.5,28.0
1874.4,51.5,28.5
1875.0,51.5,28.5
1875.6,51.5,28.5
1876.2,51.5,28.5
1876.8,51.5,28.5
1877.4,51.44,28.25
1878.0,51.5,28.25
1878.6,51.5,28.25
1879.2,51.5,28.5
1879.8,51.44,28.25
1880.4,51.5,28.0
1881.0,51.5,28.25
1881.6,51.44,28.5
1882.2,51.44,28.25
1882.8,51.5,28.5
1883.4,51.44,28.25
1884.0,51.44,28.5
1884.6,51.44,28.5
1885.2,51.44,28.25
1885.8,51.44,28.25
1886.4,51.5,28.75
1887.0,51.44,28.0
1887.6,51.44,28.5
1888.2,51.44,28.75
1888.8,51.44,28.5
1889.4,51.44,28.5
1890.0,51.44,28.5
1890.6,51.44,28.5
1891.2,51.44,28.25
1891.8,51.44,28.75
1892.4,51.44,28.5
1893.0,51.44,29.0
1893.6,51.44,28.25
1894.2,51.44,28.5
1894.8,51.44,28.75
1895.4,51.44,28.5
1896.0,51.44,28.75
1896.6,51.44,28.25
1897.2,51.38,28.75
1897.8,51.38,28.5
1898.4,51.44,28.25
1899.0,51.38,28.75
1899.6,51.38,28.25
1900.2,51.38,28.0
1900.8,51.38,28.75
1901.4,51.38,28.75
1902.0,51.44,28.5
1902.6,51.38,28.0
1903.3,51.38,28.25
1903.8,51.38,28.75
1904.4,51.38,28.25
1905.0,51.38,28.5
1905.6,51.38,28.5
1906.2,51.38,28.5
1906.8,51.38,28.25
1907.4,51.38,28.5
1908.0,51.38,28.25
1908.6,51.31,28.25
1909.2,51.38,28.5
1909.8,51.38,28.0
1910.4,51.38,28.5
1911.0,51.38,28.5
1911.6,51.38,28.0
1912.2,51.38,28.25
1912.8,51.38,28.5
1913.4,51.38,28.75
1914.0,51.31,28.25
1914.6,51.31,28.5
1915.2,51.31,28.25
1915.8,51.38,28.75
1916.4,51.31,28.5
1917.0,51.31,28.25
1917.6,51.31,28.0
1918.2,51.31,28.75
